    Point Index		True Value		Computed		Error				percentage
	 1 	 0.015514778930207982 	 0.015510553157418347 	 0.00027237080261624985 	 0.027237080261624986 %
	 2 	 0.03103176384551941 	 0.03102331053609966 	 0.00027240828016836477 	 0.02724082801683648 %
	 3 	 0.046553161613461194 	 0.04654047723899542 	 0.0002724707415384 	 	0.02724707415384 %
	 4 	 0.062081180866760136 	 0.06206426013278678 	 0.00027255818489782806 	 0.027255818489782806 %
	 5 	 0.07761803288682545 	 0.07759686873063125 	 0.0002726706076803042 		 0.027267060768030423 %
	 6 	 0.09316593248829083 	 0.09314051607596799 	 0.00027280800657512037 	 0.027280800657512035 %
	 7 	 0.10872709890496984 	 0.10869741962773509 	 0.00027297037752008945 	 0.027297037752008944 %
	 8 	 0.12430375667757906 	 0.12426980214735331 	 0.0002731577156901755 	 	0.02731577156901755 %
	 9 	 0.13989813654358393 	 0.13985989258783046 	 0.0002733700154866265 		 0.02733700154866265 %
	 10 	 0.15551247632952364 	 0.1554699269853428 	 0.00027360727052338395 	 0.027360727052338395 %
	 11 	 0.1711490218461713 	 0.17110214935364926 	 0.0002738694736110339 		 0.02738694736110339 %
	 12 	 0.18681002778688865 	 0.1867588125816972 	 0.0002741566167416567 	 	0.027415661674165672 %
	 13 	 0.202497758629533 	 0.20244217933477776 	 0.00027446869106798175 	 0.027446869106798173 %
	 14 	 0.21821448954227884 	 0.21815452295959226 	 0.0002748056868834532 		 0.02748056868834532 %
	 15 	 0.23396250729371532 	 0.2338981283935906 	 0.00027516759360040385 	 0.027516759360040385 %
	 16 	 0.24974411116758435 	 0.24967529307894631 	 0.00027555439972661066 	 0.027555439972661064 %
	 17 	 0.2655616138825245 	 0.2654883278815337 	 0.0002759660928376626 		 0.02759660928376626 %
	 18 	 0.2814173425171895 	 0.2813395580152737 	 0.000276402659551819 		 0.0276402659551819 %
	 19 	 0.2973136394411106 	 0.2972313239722198 	 0.000276864085500924 		 0.027686408550092398 %
	 20 	 0.31325286325167584 	 0.31316598245875477 	 0.0002773503552983366 		 0.027735035529833658 %
	 21 	 0.32923738971759997 	 0.32914590733827326 	 0.0002778614525075079 		 0.027786145250750786 %
	 22 	 0.34526961272926426 	 0.34517349058072705 	 0.0002783973596094785 		 0.027839735960947846 %
	 23 	 0.361351945256304 	 0.36125114321941315 	 0.0002789580579657226 		 0.02789580579657226 %
	 24 	 0.3774868203128289 	 0.37738129631538697 	 0.0002795435277831788 		 0.02795435277831788 %
	 25 	 0.39367669193066096 	 0.3935664019298869 	 0.0002801537480747932 		 0.02801537480747932 %
	 26 	 0.40992403614098005 	 0.4098089341051588 	 0.00028078869662008017 	 0.028078869662008017 %
	 27 	 0.42623135196476936 	 0.4261113898540728 	 0.0002814483499244141 		 0.02814483499244141 %
	 28 	 0.44260116241245706 	 0.4424762901589285 	 0.0002821326831767728 		 0.02821326831767728 %
	 29 	 0.4590360154931541 	 0.45890618097984764 	 0.0002828416702052533 		 0.02828416702052533 %
	 30 	 0.47553848523389197 	 0.4754036342731588 	 0.0002835752834323249 		 0.02835752834323249 %
	 31 	 0.4921111727092678 	 0.4919712490201793 	 0.00028433349382855737 	 0.028433349382855737 %
	 32 	 0.5087567070819087 	 0.5086116522668078 	 0.0002851162708652016 		 0.02851162708652016 %
	 33 	 0.525477746654172 	 0.5253275001743432 	 0.0002859235824647475 		 0.02859235824647475 %
	 34 	 0.5422769799315017 	 0.5421214790819483 	 0.0002867553949515706 		 0.02867553949515706 %
	 35 	 0.5591571266978663 	 0.5589963065811862 	 0.00028761167300129695 	 0.028761167300129696 %
	 36 	 0.5761209391037088 	 0.5759547326030564 	 0.0002884923795877445 		 0.02884923795877445 %
	 37 	 0.5931712027668439 	 0.592999540517968 	 0.0002893974759313392 		 0.02893974759313392 %
	 38 	 0.6103107378867414 	 0.6101335482490867 	 0.0002903269214436718 		 0.029032692144367177 %
	 39 	 0.6275424003726444 	 0.6273596093995051 	 0.0002912806736736689 		 0.02912806736736689 %
	 40 	 0.6448690829859708 	 0.6446806143936832 	 0.0002922586882517753 		 0.02922586882517753 %
	 41 	 0.662293716497456 	 0.6620994916336188 	 0.0002932609188328161 		 0.02932609188328161 %
	 42 	 0.6798192708595013 	 0.6796192086702079 	 0.0002942873170402044 		 0.02942873170402044 %
	 43 	 0.6974487563941936 	 0.6972427733902651 	 0.000295337832407101 		 0.0295337832407101 %
	 44 	 0.7151852249974746 	 0.7149732352196785 	 0.00029641241231860934 	 0.029641241231860935 %
	 45 	 0.7330317713599398 	 0.7328136863431797 	 0.0002975110019522493 		 0.029751100195224933 %
	 46 	 0.7509915342047563 	 0.7507672629412182 	 0.0002986335442190634 		 0.029863354421906338 %
	 47 	 0.7690676975431936 	 0.7688371464444331 	 0.00029977997970395703 	 0.029977997970395704 %
	 48 	 0.7872634919482704 	 0.7870265648062258 	 0.0003009502466045564 		 0.03009502466045564 %
	 49 	 0.8055821958470277 	 0.805338793793941 	 0.00030214428067241577 	 0.03021442806724158 %
	 50 	 0.8240271368319427 	 0.8237771582991738 	 0.00030336201515164643 	 0.030336201515164644 %
	 51 	 0.8426016929920099 	 0.8423450336677261 	 0.0003046033807177548 		 0.03046033807177548 %
	 52 	 0.8613092942640224 	 0.8610458470497455 	 0.00030586830541746155 	 0.030586830541746154 %
	 53 	 0.8801534238045916 	 0.8798830787705848 	 0.00030715671460800173 	 0.030715671460800172 %
	 54 	 0.8991376193834572 	 0.8988602637229325 	 0.00030846853089614215 	 0.030846853089614216 %
