    Point Index		True Value		Computed		Error				percentage
	 55 	 0.9182654747986416 	 0.9179809927807693 	 0.00030980367407881326 	 0.030980367407881328 %
	 56 	 0.9375406413140173 	 0.9372489142357184 	 0.00031116206108138303 	 0.031116206108138304 %
	 57 	 0.956966829119861 	 0.9566677352563621 	 0.00031254360589906067 	 0.03125436058990606 %
	 58 	 0.9765478088169788 	 0.9762412233711082 	 0.0003139482195367331 		 0.03139482195367331 %
	 59 	 0.9962874129249985 	 0.9959732079752028 	 0.0003153758099514094 		 0.03153758099514094 %
	 60 	 1.0161895374154257 	 1.0158675818624876 	 0.00031682628199163087 	 0.031682628199163086 %
	 61 	 1.036258143270087 	 1.0359283027825172 	 0.00031829953734203797 	 0.031829953734203796 %
	 62 	 1.0564972580655738 	 1.05615939502366 	 0.0003197954744647088 		 0.03197954744647088 %
	 63 	 1.0769109775843282 	 1.0765649510228124 	 0.0003213139885452949 		 0.03213139885452949 %
	 64 	 1.0975034674530086 	 1.097149133002374 	 0.00032285497143532196 	 0.032285497143532196 %
	 65 	 1.1182789648087978 	 1.1179161746351363 	 0.00032441831160046574 	 0.03244183116004657 %
	 66 	 1.1392417799943133 	 1.1388703827377529 	 0.00032600389406565566 	 0.032600389406565566 %
	 67 	 1.1603962982818024 	 1.1600161389934645 	 0.0003276116003651525 		 0.032761160036515254 %
	 68 	 1.1817469816273083 	 1.1813579017047735 	 0.000329241308489748 		 0.032924130848974796 %
	 69 	 1.2032983704555142 	 1.2029002075767647 	 0.00033089289283984557 	 0.03308928928398456 %
	 70 	 1.2250550854759719 	 1.2246476735317866 	 0.00033256622417673735 	 0.033256622417673735 %
	 71 	 1.2470218295314475 	 1.246604998556221 	 0.00033426116957631586 	 0.033426116957631584 %
	 72 	 1.2692033894791226 	 1.268776965580078 	 0.0003359775923853885 		 0.03359775923853885 %
	 73 	 1.2916046381053987 	 1.291168443390167 	 0.0003377153521774705 		 0.03377153521774705 %
	 74 	 1.3142305360750788 	 1.3137843885776117 	 0.00033947430471330036 	 0.03394743047133004 %
	 75 	 1.3370861339156979 	 1.3366298475204879 	 0.0003412543019003234 		 0.03412543019003234 %
	 76 	 1.360176574037803 	 1.359709958402372 	 0.0003430551917577469 		 0.034305519175774686 %
	 77 	 1.3835070927919841 	 1.3830299532676171 	 0.0003448768183790941 		 0.03448768183790941 %
	 78 	 1.4070830225634858 	 1.4065951601141693 	 0.0003467190219008717 		 0.034671902190087166 %
	 79 	 1.430909793905231 	 1.430411005024767 	 0.0003485816384713406 		 0.03485816384713406 %
	 80 	 1.4549929377101165 	 1.4544830143373744 	 0.0003504645002227028 		 0.03504645002227028 %
	 81 	 1.4793380874234416 	 1.4788168168557168 	 0.00035236743524448864 	 0.03523674352444887 %
	 82 	 1.503950981296363 	 1.5034181461008014 	 0.00035429026756064047 	 0.03542902675606405 %
	 83 	 1.5288374646812708 	 1.528292842604326 	 0.0003562328171086943 		 0.03562328171086943 %
	 84 	 1.554003492370008 	 1.5534468562448924 	 0.00035819489972094466 	 0.03581948997209446 %
	 85 	 1.5794551309758669 	 1.578886248627957 	 0.00036017632711002513 	 0.036017632711002515 %
	 86 	 1.6051985613603141 	 1.6046171955104724 	 0.00036217690685507657 	 0.036217690685507654 %
	 87 	 1.6312400811054188 	 1.6306459892711924 	 0.0003641964423923665 		 0.03641964423923665 %
	 88 	 1.657586107032969 	 1.6569790414276206 	 0.0003662347330087841 		 0.03662347330087841 %
	 89 	 1.6842431777712852 	 1.68362288520062 	 0.000368291573836689 		 0.0368291573836689 %
	 90 	 1.7112179563707601 	 1.7105841781276996 	 0.000370366755854231 		 0.0370366755854231 %
	 91 	 1.7385172329691672 	 1.73786970472603 	 0.00037246006588682363 	 0.037246006588682365 %
	 92 	 1.7661479275078054 	 1.7654863792062507 	 0.0003745712866125155 		 0.037457128661251546 %
	 93 	 1.7941170924995697 	 1.793441248238154 	 0.0003767001965708155 		 0.03767001965708155 %
	 94 	 1.8224319158500486 	 1.8217414937693526 	 0.00037884657017433284 	 0.037884657017433286 %
	 95 	 1.8510997237327833 	 1.8503944358980584 	 0.0003810101777243372 		 0.038101017772433715 %
	 96 	 1.880127983519834 	 1.879407535801124 	 0.0003831907854278994 		 0.038319078542789944 %
	 97 	 1.9095243067688297 	 1.9087883987185097 	 0.0003853881554224531 		 0.03853881554224531 %
	 98 	 1.9392964522676905 	 1.9385447769953834 	 0.0003876020457976742 		 0.03876020457976742 %
	 99 	 1.9694523291382486 	 1.9690765731830548 	 0.00019079210480723132 	 0.01907921048072313 %
mean error percent =  0.031086968500830384 %
variance =  1.356087824142636e-07 %
